                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.97138,                0.99601,                 1.0403,                0.76847,                    0.5,                0.60525,                 0.3226,                 1.7741,                  1.724,                 1.6162,              0.0009308,              0.0009308,              0.0009308
                    110,                0.96337,                 1.0136,                 1.0199,                0.78634,                0.53125,                0.62565,                0.33792,                 1.7079,                 1.6787,                 1.5547,              0.0009209,              0.0009209,              0.0009209
                    111,                0.92173,                0.96242,                 1.0454,                0.78634,                0.53125,                0.62565,                0.33792,                 1.7079,                 1.6787,                 1.5547,               0.000911,               0.000911,               0.000911
                    112,                0.80379,                0.84595,                0.98981,                0.85474,                0.51562,                0.63753,                0.34491,                 1.6839,                 1.6059,                 1.5572,              0.0009011,              0.0009011,              0.0009011
                    113,                0.92013,                0.99206,                 1.0603,                0.85474,                0.51562,                0.63753,                0.34491,                 1.6839,                 1.6059,                 1.5572,              0.0008912,              0.0008912,              0.0008912
                    114,                 0.8693,                0.96151,                0.98147,                 0.7502,                0.57812,                0.67405,                0.36716,                 1.7017,                 1.5793,                 1.5622,              0.0008813,              0.0008813,              0.0008813
                    115,                0.92731,                0.97489,                 1.0329,                 0.7502,                0.57812,                0.67405,                0.36716,                 1.7017,                 1.5793,                 1.5622,              0.0008714,              0.0008714,              0.0008714
                    116,                0.85842,                0.93471,                 1.0499,                   0.83,                 0.6875,                0.74002,                0.37562,                  1.714,                  1.557,                 1.5778,              0.0008615,              0.0008615,              0.0008615
                    117,                0.86939,                0.92068,                0.99356,                   0.83,                 0.6875,                0.74002,                0.37562,                  1.714,                  1.557,                 1.5778,              0.0008516,              0.0008516,              0.0008516
                    118,                0.88405,                0.96055,                 1.0032,                0.85218,                0.63063,                0.75218,                0.38046,                 1.7143,                 1.5046,                   1.56,              0.0008417,              0.0008417,              0.0008417
                    119,                0.81998,                0.79089,                0.92986,                0.85218,                0.63063,                0.75218,                0.38046,                 1.7143,                 1.5046,                   1.56,              0.0008318,              0.0008318,              0.0008318
                    120,                0.99743,                0.98462,                 1.0691,                0.70399,                0.70609,                0.75258,                0.37901,                 1.7076,                  1.489,                 1.5451,              0.0008219,              0.0008219,              0.0008219
                    121,                0.75666,                0.80926,                0.95882,                0.70399,                0.70609,                0.75258,                0.37901,                 1.7076,                  1.489,                 1.5451,               0.000812,               0.000812,               0.000812
                    122,                0.87181,                0.91679,                 0.9416,                0.79468,                0.60938,                0.73645,                 0.3794,                 1.6953,                 1.5567,                 1.5396,              0.0008021,              0.0008021,              0.0008021
                    123,                0.82505,                0.86004,                0.99449,                0.79468,                0.60938,                0.73645,                 0.3794,                 1.6953,                 1.5567,                 1.5396,              0.0007922,              0.0007922,              0.0007922
